id,name,age,salary,signup_date
1,User_1,45.0,51345.0,2023-01-01
2,User_2,20.0,49832.0,2023-01-02
3,User_3,54.0,117566.0,2023-01-03
4,User_4,26.0,42044.0,2023-01-04
5,User_5,41.0,95942.0,2023-01-05
6,User_6,23.0,95719.0,2023-01-06
7,User_7,21.0,43292.0,2023-01-07
8,User_8,30.0,103498.0,2023-01-08
9,User_9,47.0,56773.0,2023-01-09
10,User_10,36.0,110374.0,2023-01-10
11,User_11,40.01063829787234,89468.0,2023-01-11
12,User_12,40.01063829787234,94263.0,2023-01-12
13,User_13,40.01063829787234,80377.0,2023-01-13
14,User_14,40.01063829787234,104222.0,2023-01-14
15,User_15,40.01063829787234,53535.0,2023-01-15
16,User_16,40.01063829787234,114772.0,2023-01-16
17,User_17,23.0,82248.0,2023-01-17
18,User_18,55.0,65811.0,2023-01-18
19,User_19,27.0,67627.0,2023-01-19
20,User_20,21.0,41162.0,2023-01-20
21,User_21,30.0,999999.0,2023-01-21
22,User_22,32.0,89258.0,2023-01-22
23,User_23,52.0,69024.0,2023-01-23
24,User_24,42.0,101018.0,2023-01-24
25,User_25,43.0,52087.0,2023-01-25
26,User_26,53.0,73382.0,2023-01-26
27,User_27,28.0,94983.0,2023-01-27
28,User_28,47.0,117726.0,2023-01-28
29,User_29,30.0,42529.0,2023-01-29
30,User_30,54.0,42532.0,2023-01-30
31,User_31,42.0,43752.0,2023-01-31
32,User_32,52.0,101113.0,2023-02-01
33,User_33,21.0,105816.0,2023-02-02
34,User_34,55.0,70434.0,2023-02-03
35,User_35,37.0,101898.0,2023-02-04
36,User_36,51.0,94520.0,2023-02-05
37,User_37,29.0,47136.0,2023-02-06
38,User_38,22.0,43441.0,2023-02-07
39,User_39,40.0,108145.0,2023-02-08
40,User_40,52.0,77076.0,2023-02-09
41,User_41,33.0,117076.0,2023-02-10
42,User_42,52.0,48051.0,2023-02-11
43,User_43,35.0,45714.0,2023-02-12
44,User_44,42.0,84943.0,2023-02-13
45,User_45,25.0,51998.0,2023-02-14
46,User_46,28.0,106498.0,2023-02-15
47,User_47,57.0,81223.0,2023-02-16
48,User_48,57.0,102946.0,2023-02-17
49,User_49,33.0,51310.0,2023-02-18
50,User_50,59.0,108235.0,2023-02-19
51,User_51,50.0,88469.91489361702,2023-02-20
52,User_52,43.0,88469.91489361702,2023-02-21
53,User_53,25.0,88469.91489361702,2023-02-22
54,User_54,55.0,88469.91489361702,2023-02-23
55,User_55,58.0,88469.91489361702,2023-02-24
56,User_56,30.0,88469.91489361702,2023-02-25
57,User_57,24.0,67536.0,2023-02-26
58,User_58,28.0,68354.0,2023-02-27
59,User_59,25.0,46247.0,2023-02-28
60,User_60,42.0,97314.0,2023-03-01
61,User_61,48.0,96816.0,2023-03-02
62,User_62,44.0,101656.0,2023-03-03
63,User_63,54.0,82045.0,2023-03-04
64,User_64,40.0,106053.0,2023-03-05
65,User_65,50.0,91950.0,2023-03-06
66,User_66,52.0,116741.0,2023-03-07
67,User_67,25.0,110200.0,2023-03-08
68,User_68,28.0,110640.0,2023-03-09
69,User_69,20.0,68519.0,2023-03-10
70,User_70,45.0,77442.0,2023-03-11
71,User_71,44.0,57950.0,2023-03-12
72,User_72,59.0,83510.0,2023-03-13
73,User_73,55.0,93511.0,2023-03-14
74,User_74,32.0,86919.0,2023-03-15
75,User_75,51.0,73980.0,2023-03-16
76,User_76,31.0,79068.0,2023-03-17
77,User_77,41.0,59813.0,2023-03-18
78,User_78,57.0,43875.0,2023-03-19
79,User_79,46.0,58438.0,2023-03-20
80,User_80,47.0,99915.0,2023-03-21
81,User_81,32.0,104467.0,2023-03-22
82,User_82,52.0,43579.0,2023-03-23
83,User_83,35.0,79503.0,2023-03-24
84,User_84,28.0,105169.0,2023-03-25
85,User_85,57.0,45229.0,2023-03-26
86,User_86,37.0,67166.0,2023-03-27
87,User_87,25.0,114116.0,2023-03-28
88,User_88,54.0,71465.0,2023-03-29
89,User_89,35.0,91411.0,2023-03-30
90,User_90,35.0,97419.0,2023-03-31
91,User_91,47.0,87293.0,2023-04-01
92,User_92,58.0,65558.0,2023-04-02
93,User_93,46.0,71143.0,2023-04-03
94,User_94,49.0,72214.0,2023-04-04
95,User_95,23.0,61026.0,2023-04-05
96,User_96,48.0,50774.0,2023-04-06
97,User_97,51.0,56094.0,2023-04-07
98,User_98,23.0,40174.0,2023-04-08
99,User_99,50.0,85176.0,2023-04-09
100,User_100,25.0,94971.0,2023-04-10
